Well,Plate,Variable,Main
E02,6722,FALSE,0
E01,6722,FALSE,0
F12,6722,FALSE,0
F11,6722,FALSE,0
F10,6722,FALSE,0
F09,6722,FALSE,0
F08,6722,FALSE,0
F07,6722,FALSE,0
F06,6722,FALSE,0
F05,6722,FALSE,0
F04,6722,FALSE,0
F02,6722,FALSE,0
F01,6722,FALSE,0
G12,6722,FALSE,0
G11,6722,FALSE,0
G10,6722,FALSE,0
G09,6722,FALSE,0
G08,6722,FALSE,0
G07,6722,FALSE,0
G06,6722,FALSE,0
G05,6722,FALSE,0
G04,6722,FALSE,0
G03,6722,FALSE,0
G02,6722,FALSE,0
G01,6722,FALSE,0
H12,6722,FALSE,0
H11,6722,FALSE,0
H10,6722,FALSE,0
H09,6722,FALSE,0
H08,6722,FALSE,0
H07,6722,FALSE,0
H06,6722,FALSE,0
H05,6722,FALSE,0
H04,6722,FALSE,0
H03,6722,FALSE,0
H02,6722,FALSE,0
H01,6722,FALSE,0
A12,6724,FALSE,0
A11,6724,FALSE,0
A10,6724,FALSE,0
A09,6724,FALSE,0
A08,6724,FALSE,0
A07,6724,FALSE,0
A06,6724,FALSE,0
A05,6724,FALSE,0
A04,6724,FALSE,0
A03,6724,FALSE,0
A02,6724,FALSE,0
A01,6724,FALSE,0
B11,6724,FALSE,0
B10,6724,FALSE,0
B08,6724,FALSE,0
B07,6724,FALSE,0
B06,6724,FALSE,0
B03,6724,FALSE,0
B01,6724,FALSE,0
C11,6724,FALSE,0
C10,6724,FALSE,0
C09,6724,FALSE,0
C08,6724,FALSE,0
C07,6724,FALSE,0
C06,6724,FALSE,0
C01,6724,FALSE,0
D11,6724,FALSE,0
D10,6724,FALSE,0
D09,6724,FALSE,0
D08,6724,FALSE,0
D07,6724,FALSE,0
D06,6724,FALSE,0
D05,6724,FALSE,0
E12,6724,FALSE,0
E11,6724,FALSE,0
E10,6724,FALSE,0
E07,6724,FALSE,0
E06,6724,FALSE,0
E05,6724,FALSE,0
E04,6724,FALSE,0
E03,6724,FALSE,0
E02,6724,FALSE,0
E01,6724,FALSE,0
F12,6724,FALSE,0
F11,6724,FALSE,0
F10,6724,FALSE,0
F09,6724,FALSE,0
F08,6724,FALSE,0
F07,6724,FALSE,0
F06,6724,FALSE,0
F05,6724,FALSE,0
F03,6724,FALSE,0
F02,6724,FALSE,0
G12,6724,FALSE,0
G11,6724,FALSE,0
G10,6724,FALSE,0
G09,6724,FALSE,0
G08,6724,FALSE,0
G06,6724,FALSE,0
G05,6724,FALSE,0
G03,6724,FALSE,0
G02,6724,FALSE,0
G01,6724,FALSE,0
H12,6724,FALSE,
H11,6724,FALSE,0
H10,6724,FALSE,0
H08,6724,FALSE,0
H07,6724,FALSE,0
H04,6724,FALSE,0
H03,6724,FALSE,0
H02,6724,FALSE,0
H01,6724,FALSE,0
A12,6725,FALSE,0
A11,6725,FALSE,0
A10,6725,FALSE,0
A09,6725,FALSE,0
A07,6725,FALSE,0
A06,6725,FALSE,0
A05,6725,FALSE,0
A04,6725,FALSE,0
A03,6725,FALSE,0
A02,6725,FALSE,0
A01,6725,FALSE,0
B12,6725,FALSE,0
B11,6725,FALSE,0
B10,6725,FALSE,0
B09,6725,FALSE,0
B08,6725,FALSE,0
B07,6725,FALSE,0
B06,6725,FALSE,0
B05,6725,FALSE,0
B04,6725,FALSE,0
B03,6725,FALSE,0
B02,6725,FALSE,0
B01,6725,FALSE,0
C12,6725,FALSE,0
C11,6725,FALSE,0
C10,6725,FALSE,0
C09,6725,FALSE,0
C08,6725,FALSE,0
C07,6725,FALSE,0
C06,6725,FALSE,0
C05,6725,FALSE,0
C04,6725,FALSE,0
C03,6725,FALSE,0
C02,6725,FALSE,0
C01,6725,FALSE,0
D12,6725,FALSE,0
D11,6725,FALSE,0
D10,6725,FALSE,0
D09,6725,FALSE,0
D08,6725,FALSE,0
D07,6725,FALSE,0
D06,6725,FALSE,0
D05,6725,FALSE,0
D04,6725,FALSE,0
D03,6725,FALSE,0
D02,6725,FALSE,0
D01,6725,FALSE,0
E12,6725,FALSE,0
E11,6725,FALSE,0
E10,6725,FALSE,0
E09,6725,FALSE,0
E08,6725,FALSE,0
E07,6725,FALSE,0
E06,6725,FALSE,0
E05,6725,FALSE,0
E04,6725,FALSE,0
E03,6725,FALSE,0
E02,6725,FALSE,0
E01,6725,FALSE,0
F12,6725,FALSE,0
F11,6725,FALSE,0
F10,6725,FALSE,0
F09,6725,FALSE,0
F07,6725,FALSE,0
F06,6725,FALSE,0
F05,6725,FALSE,0
F04,6725,FALSE,0
F03,6725,FALSE,0
F02,6725,FALSE,0
F01,6725,FALSE,0
G12,6725,FALSE,0
G11,6725,FALSE,0
G10,6725,FALSE,0
G09,6725,FALSE,0
G08,6725,FALSE,0
G07,6725,FALSE,0
G06,6725,FALSE,0
G05,6725,FALSE,0
G04,6725,FALSE,0
G03,6725,FALSE,0
G02,6725,FALSE,0
G01,6725,FALSE,0
H12,6725,FALSE,0
H11,6725,FALSE,0
H10,6725,FALSE,0
H09,6725,FALSE,0
H08,6725,FALSE,0
H07,6725,FALSE,0
H06,6725,FALSE,0
H05,6725,FALSE,0
H04,6725,FALSE,0
H03,6725,FALSE,0
H02,6725,FALSE,0
H01,6725,FALSE,0
A12,6731,FALSE,0
A11,6731,FALSE,0
A10,6731,FALSE,0
A09,6731,FALSE,0
A08,6731,FALSE,0
A07,6731,FALSE,0
A06,6731,FALSE,0
A05,6731,FALSE,0
A04,6731,FALSE,0
A02,6731,FALSE,0
A01,6731,FALSE,0
B12,6731,FALSE,0
B11,6731,FALSE,0
B10,6731,FALSE,0
B09,6731,FALSE,0
B08,6731,FALSE,0
B07,6731,FALSE,0
B06,6731,FALSE,0
B05,6731,FALSE,0
B04,6731,FALSE,0
B03,6731,FALSE,0
B02,6731,FALSE,0
B01,6731,FALSE,0
C12,6731,FALSE,0
C11,6731,FALSE,0
C10,6731,FALSE,0
C09,6731,FALSE,0
C08,6731,FALSE,0
C07,6731,FALSE,0
C06,6731,FALSE,0
C05,6731,FALSE,0
C04,6731,FALSE,0
C03,6731,FALSE,0
C02,6731,FALSE,0
C01,6731,FALSE,0
D12,6731,FALSE,0
D11,6731,FALSE,0
D10,6731,FALSE,0
D09,6731,FALSE,0
D08,6731,FALSE,0
D07,6731,FALSE,0
D06,6731,FALSE,0
D05,6731,FALSE,0
D04,6731,FALSE,0
D03,6731,FALSE,0
D02,6731,FALSE,0
D01,6731,FALSE,0
E12,6731,FALSE,0
E11,6731,FALSE,0
E10,6731,FALSE,0
E09,6731,FALSE,0
E08,6731,FALSE,0
E07,6731,FALSE,0
E06,6731,FALSE,0
E05,6731,FALSE,0
E04,6731,FALSE,0
E03,6731,FALSE,0
E02,6731,FALSE,0
E01,6731,FALSE,0
F12,6731,FALSE,0
F11,6731,FALSE,0
F10,6731,FALSE,0
F09,6731,FALSE,0
F08,6731,FALSE,0
F07,6731,FALSE,0
F06,6731,FALSE,0
F05,6731,FALSE,0
F04,6731,FALSE,0
F03,6731,FALSE,0
F02,6731,FALSE,0
F01,6731,FALSE,0
G12,6731,FALSE,0
G11,6731,FALSE,0
G10,6731,FALSE,0
G09,6731,FALSE,0
G08,6731,FALSE,0
G07,6731,FALSE,0
G06,6731,FALSE,0
G05,6731,FALSE,0
G04,6731,FALSE,0
G03,6731,FALSE,0
G02,6731,FALSE,0
G01,6731,FALSE,0
H12,6731,FALSE,0
H11,6731,FALSE,0
H10,6731,FALSE,0
H09,6731,FALSE,0
H08,6731,FALSE,0
H07,6731,FALSE,0
H06,6731,FALSE,0
H05,6731,FALSE,0
H03,6731,FALSE,0
H02,6731,FALSE,0
H01,6731,FALSE,0
A12,6734,FALSE,0
A11,6734,FALSE,0
A10,6734,FALSE,0
A09,6734,FALSE,0
A08,6734,FALSE,0
A07,6734,FALSE,0
A06,6734,FALSE,0
A05,6734,FALSE,0
A04,6734,FALSE,0
A03,6734,FALSE,0
A02,6734,FALSE,0
A01,6734,FALSE,0
B12,6734,FALSE,0
B11,6734,FALSE,0
B10,6734,FALSE,0
B09,6734,FALSE,0
B08,6734,FALSE,0
B07,6734,FALSE,0
B06,6734,FALSE,0
B05,6734,FALSE,0
B04,6734,FALSE,0
B03,6734,FALSE,0
B02,6734,FALSE,0
B01,6734,FALSE,0
C12,6734,FALSE,0
C11,6734,FALSE,0
C10,6734,FALSE,0
C09,6734,FALSE,0
C08,6734,FALSE,0
C07,6734,FALSE,0
C06,6734,FALSE,0
C05,6734,FALSE,0
C04,6734,FALSE,0
C03,6734,FALSE,0
C02,6734,FALSE,0
C01,6734,FALSE,0
D12,6734,FALSE,0
D11,6734,FALSE,0
D10,6734,FALSE,0
D09,6734,FALSE,0
D08,6734,FALSE,0
D07,6734,FALSE,0
D06,6734,FALSE,0
D05,6734,FALSE,0
D04,6734,FALSE,0
D03,6734,FALSE,0
D02,6734,FALSE,0
D01,6734,FALSE,0
E12,6734,FALSE,0
E11,6734,FALSE,0
E10,6734,FALSE,0
E09,6734,FALSE,0
E08,6734,FALSE,0
E07,6734,FALSE,0
E06,6734,FALSE,0
E05,6734,FALSE,0
E03,6734,FALSE,0
E02,6734,FALSE,0
E01,6734,FALSE,0
F12,6734,FALSE,0
F11,6734,FALSE,0
F10,6734,FALSE,0
F09,6734,FALSE,0
F08,6734,FALSE,0
F07,6734,FALSE,0
F06,6734,FALSE,0
F04,6734,FALSE,0
F03,6734,FALSE,0
F02,6734,FALSE,0
F01,6734,FALSE,0
G12,6734,FALSE,0
G11,6734,FALSE,0
G10,6734,FALSE,0
G09,6734,FALSE,0
G08,6734,FALSE,0
G07,6734,FALSE,0
G06,6734,FALSE,0
G05,6734,FALSE,0
G04,6734,FALSE,0
G03,6734,FALSE,0
G02,6734,FALSE,0
G01,6734,FALSE,0
H12,6734,FALSE,0
H11,6734,FALSE,0
H10,6734,FALSE,0
H09,6734,FALSE,0
H08,6734,FALSE,0
H07,6734,FALSE,0
H06,6734,FALSE,0
H05,6734,FALSE,0
H03,6734,FALSE,0
H02,6734,FALSE,0
H01,6734,FALSE,0
A12,6735,FALSE,0
A11,6735,FALSE,0
A10,6735,FALSE,0
A09,6735,FALSE,0
A08,6735,FALSE,0
A07,6735,FALSE,0
A06,6735,FALSE,0
A05,6735,FALSE,0
A04,6735,FALSE,0
A03,6735,FALSE,0
A02,6735,FALSE,0
A01,6735,FALSE,0
B12,6735,FALSE,0
B11,6735,FALSE,0
B10,6735,FALSE,0
B09,6735,FALSE,0
B08,6735,FALSE,0
B07,6735,FALSE,0
B06,6735,FALSE,0
B05,6735,FALSE,0
B04,6735,FALSE,0
B03,6735,FALSE,0
B02,6735,FALSE,0
C12,6735,FALSE,0
C11,6735,FALSE,0
C10,6735,FALSE,0
C09,6735,FALSE,0
C08,6735,FALSE,0
C07,6735,FALSE,0
C06,6735,FALSE,0
C05,6735,FALSE,0
C04,6735,FALSE,0
C03,6735,FALSE,0
C02,6735,FALSE,0
C01,6735,FALSE,0
D12,6735,FALSE,0
D11,6735,FALSE,0
D10,6735,FALSE,0
D09,6735,FALSE,0
D08,6735,FALSE,0
D07,6735,FALSE,0
D06,6735,FALSE,0
D05,6735,FALSE,0
D04,6735,FALSE,0
D03,6735,FALSE,0
D02,6735,FALSE,0
D01,6735,FALSE,0
E12,6735,FALSE,0
E11,6735,FALSE,0
E10,6735,FALSE,0
E09,6735,FALSE,0
E08,6735,FALSE,0
E07,6735,FALSE,0
E06,6735,FALSE,0
E05,6735,FALSE,0
E04,6735,FALSE,0
E03,6735,FALSE,0
E02,6735,FALSE,0
E01,6735,FALSE,0
F12,6735,FALSE,0
F11,6735,FALSE,0
F10,6735,FALSE,0
F09,6735,FALSE,0
F08,6735,FALSE,0
F07,6735,FALSE,0
F06,6735,FALSE,0
F05,6735,FALSE,0
F04,6735,FALSE,0
F03,6735,FALSE,0
F02,6735,FALSE,0
F01,6735,FALSE,0
G12,6735,FALSE,0
G11,6735,FALSE,0
G10,6735,FALSE,0
G09,6735,FALSE,0
G08,6735,FALSE,0
G07,6735,FALSE,0
G06,6735,FALSE,0
G05,6735,FALSE,0
G04,6735,FALSE,0
G03,6735,FALSE,0
G02,6735,FALSE,0
G01,6735,FALSE,0
H12,6735,FALSE,0
H11,6735,FALSE,0
H10,6735,FALSE,0
H09,6735,FALSE,0
H08,6735,FALSE,0
H07,6735,FALSE,0
H06,6735,FALSE,0
H05,6735,FALSE,0
H04,6735,FALSE,0
H03,6735,FALSE,0
H02,6735,FALSE,0
H01,6735,FALSE,0
A10,6736,FALSE,0
A09,6736,FALSE,0
A08,6736,FALSE,0
A07,6736,FALSE,0
A06,6736,FALSE,0
A04,6736,FALSE,0
A03,6736,FALSE,0
B12,6736,FALSE,0
B11,6736,FALSE,0
B10,6736,FALSE,0
B09,6736,FALSE,0
B07,6736,FALSE,0
B04,6736,FALSE,0
B02,6736,FALSE,0
C12,6736,FALSE,0
C10,6736,FALSE,0
C08,6736,FALSE,0
C05,6736,FALSE,0
C03,6736,FALSE,0
C02,6736,FALSE,0
C01,6736,FALSE,0
D12,6736,FALSE,0
D09,6736,FALSE,0
D07,6736,FALSE,0
D04,6736,FALSE,0
D02,6736,FALSE,0
D01,6736,FALSE,0
E12,6736,FALSE,0
E11,6736,FALSE,0
E09,6736,FALSE,0
E08,6736,FALSE,0
E07,6736,FALSE,0
E06,6736,FALSE,0
E05,6736,FALSE,0
E02,6736,FALSE,0
E01,6736,FALSE,0
F12,6736,FALSE,0
F08,6736,FALSE,0
F07,6736,FALSE,0
F06,6736,FALSE,0
F05,6736,FALSE,0
F02,6736,FALSE,0
F01,6736,FALSE,0
G12,6736,FALSE,0
G11,6736,FALSE,0
G08,6736,FALSE,0
G07,6736,FALSE,0
G06,6736,FALSE,0
G04,6736,FALSE,0
G02,6736,FALSE,0
H12,6736,FALSE,
H11,6736,FALSE,0
H10,6736,FALSE,0
H09,6736,FALSE,0
H08,6736,FALSE,0
H07,6736,FALSE,0
H06,6736,FALSE,0
H05,6736,FALSE,0
H04,6736,FALSE,0
H03,6736,FALSE,0
H02,6736,FALSE,0
H01,6736,FALSE,0
A12,6745,FALSE,0
A11,6745,FALSE,0
A10,6745,FALSE,0
A09,6745,FALSE,0
A07,6745,FALSE,0
A06,6745,FALSE,0
A05,6745,FALSE,0
A04,6745,FALSE,0
A03,6745,FALSE,0
A02,6745,FALSE,0
A01,6745,FALSE,0
B12,6745,FALSE,0
B11,6745,FALSE,0
B10,6745,FALSE,0
B09,6745,FALSE,0
B08,6745,FALSE,0
B07,6745,FALSE,0
B06,6745,FALSE,0
B05,6745,FALSE,0
B04,6745,FALSE,0
B03,6745,FALSE,0
B02,6745,FALSE,0
B01,6745,FALSE,0
C12,6745,FALSE,0
C11,6745,FALSE,0
C10,6745,FALSE,0
C09,6745,FALSE,0
C08,6745,FALSE,0
C07,6745,FALSE,0
C06,6745,FALSE,0
C05,6745,FALSE,0
C04,6745,FALSE,0
C03,6745,FALSE,0
C02,6745,FALSE,0
C01,6745,FALSE,0
D12,6745,FALSE,0
D11,6745,FALSE,0
D10,6745,FALSE,0
D09,6745,FALSE,0
D08,6745,FALSE,0
D07,6745,FALSE,0
D06,6745,FALSE,0
D05,6745,FALSE,0
D03,6745,FALSE,0
D02,6745,FALSE,0
D01,6745,FALSE,0
E12,6745,FALSE,0
E11,6745,FALSE,0
E10,6745,FALSE,0
E09,6745,FALSE,0
E08,6745,FALSE,0
E07,6745,FALSE,0
E06,6745,FALSE,0
E05,6745,FALSE,0
E04,6745,FALSE,0
E03,6745,FALSE,0
E02,6745,FALSE,0
E01,6745,FALSE,0
F12,6745,FALSE,0
F11,6745,FALSE,0
F10,6745,FALSE,0
F09,6745,FALSE,0
F08,6745,FALSE,0
F07,6745,FALSE,0
F06,6745,FALSE,0
F05,6745,FALSE,0
F04,6745,FALSE,0
F03,6745,FALSE,0
F02,6745,FALSE,0
F01,6745,FALSE,0
G12,6745,FALSE,0
G11,6745,FALSE,0
G10,6745,FALSE,0
G09,6745,FALSE,0
G07,6745,FALSE,0
G06,6745,FALSE,0
G05,6745,FALSE,0
G04,6745,FALSE,0
G03,6745,FALSE,0
G02,6745,FALSE,0
G01,6745,FALSE,0
H12,6745,FALSE,0
H11,6745,FALSE,0
H10,6745,FALSE,0
H09,6745,FALSE,0
H08,6745,FALSE,0
H07,6745,FALSE,0
H06,6745,FALSE,0
H05,6745,FALSE,0
H04,6745,FALSE,0
H03,6745,FALSE,0
H02,6745,FALSE,0
H01,6745,FALSE,0
