well_plate,Compartments
D12_55335984,Cell
D12_55355986,Cell
D12_55365987,Cell
D12_55375988,Cell
D12_55385989,Cell
D12_55405991,Cell
D12_75836284,Cytosol
E01_55185977,Cell
E01_55195978,Nucleus
E01_55205980,Cell
E01_55215982,Nucleus
E01_55235979,Cell
E01_55245981,Cell
E01_55335984,Cell
E01_55345985,nucleus
E01_55385989,Cell
E01_55395990,Nucleus
E01_55405991,nucleus
E01_75836284,Cell
E01_75846286,Cell
E02_55185977,Cell
E02_55195978,Cell
E02_55205980,nucleus
E02_55215982,Cell
E02_55225983,Nucleus
E02_55235979,Cell
E02_55245981,Nucleus
E02_55355986,Cell
E02_55365987,nucleus
E02_55375988,Nucleus
E02_55385989,Nucleus
E02_55395990,Nucleus
E02_55405991,nucleus
E02_75846286,Cell
E03_55185977,Cell
E03_55205980,nucleus
E03_55215982,Cell
E03_55225983,Cell
E03_55235979,Cell
E03_55245981,Nucleus
E03_55345985,Cell
E03_55365987,nucleus
E03_55375988,nucleus
E03_55405991,Cell
E03_75836284,Cell
E03_75846286,Nucleus
E04_55195978,Cell
E04_55205980,Cell
E04_55215982,Cell
E04_55235979,Nucleus
E04_55245981,Cell
E04_55335984,Cell
E04_55355986,Nucleus
E04_55375988,Cell
E04_55385989,Nucleus
E04_55395990,Cell
E04_55405991,nucleus
E04_75836284,Cell
E04_75846286,Cell
E05_55185977,Cytosol
E05_55195978,Nucleus
E05_55205980,Nucleus
E05_55215982,Nucleus
E05_55245981,Cell
E05_55335984,Cell
E05_55345985,nucleus
E05_55355986,Cell
E05_55365987,Cell
E05_55375988,nucleus
E05_55385989,Cytosol
E05_55405991,Nucleus
E05_75836284,Cell
E06_55185977,nucleus
E06_55225983,Nucleus
E06_55235979,Cell
E06_55245981,Cell
E06_55335984,Nucleus
E06_55345985,Cell
E06_55355986,Cell
E06_55365987,Cell
E06_55375988,Cell
E06_55395990,Cytosol
E06_55405991,Cell
E06_75836284,cytosol
E07_55185977,nucleus
E07_55205980,Cytosol
E07_55225983,Cell
E07_55235979,Cytosol
E07_55245981,nucleus
E07_55335984,Nucleus
E07_55345985,nucleus
E07_55355986,Nucleus
E07_55365987,Nucleus
E07_55375988,Cell
E07_55385989,Cell
E07_55395990,Cell
E07_75836284,Cell
E08_55185977,Nucleus
E08_55195978,nucleus
E08_55205980,nucleus
E08_55215982,Nucleus
E08_55225983,Nucleus
E08_55235979,Nucleus
E08_55245981,Nucleus
E08_55335984,Nucleus
E08_55345985,Nucleus
E08_55365987,nucleus
E08_55375988,Nucleus
E08_55385989,Cytosol
E08_55395990,nucleus
E08_75836284,nucleus
E09_55195978,Nucleus
E09_55205980,nucleus
E09_55215982,nucleus
E09_55225983,Nucleus
E09_55245981,Cell
E09_55335984,nucleus
E09_55345985,Cell
E09_55365987,Cell
E09_55375988,nucleus
E09_55385989,Cytosol
E09_55405991,Cell
E09_75836284,Cell
E10_55185977,Nucleus
E10_55205980,Cell
E10_55215982,Cell
E10_55225983,Nucleus
E10_55235979,nucleus
E10_55335984,Cell
E10_55345985,Cell
E10_55355986,Cell
E10_55375988,nucleus
E10_55385989,Cytosol
E10_55395990,Nucleus
E10_55405991,Nucleus
E10_75836284,Cell
E11_55185977,Nucleus
E11_55205980,Cytosol
E11_55215982,Cell
E11_55225983,Nucleus
E11_55335984,Cell
E11_55345985,nucleus
E11_55365987,nucleus
E11_75836284,cytosol
E12_55215982,Nucleus
E12_55225983,Cell
E12_55245981,Cytosol
E12_55335984,Cell
E12_55345985,Cell
E12_55355986,Cell
E12_55365987,nucleus
E12_55385989,Cell
E12_55395990,Cell
F01_55185977,Cell
F01_55195978,nucleus
F01_55205980,Nucleus
F01_55215982,Cell
F01_55225983,Nucleus
F01_55235979,Cell
F01_55335984,Cell
F01_55345985,Cytosol
F01_55355986,Cell
F01_55365987,nucleus
F01_55375988,Cytosol
F01_55385989,Cell
F01_55395990,Cell
F01_55405991,Cell
F01_75836284,Cell
F01_75846286,nucleus
F02_55185977,Cell
F02_55205980,nucleus
F02_55215982,nucleus
F02_55225983,Cell
F02_55235979,Cell
F02_55245981,Nucleus
F02_55335984,nucleus
F02_55345985,Cytosol
F02_55355986,nucleus
F02_55385989,Cell
F02_55395990,Nucleus
F02_55405991,Cell
F02_75836284,Cell
F02_75846286,Nucleus
F03_55205980,Cytosol
F03_55215982,cytosol
F03_55225983,Cell
F03_55235979,Cytosol
F03_55245981,Cell
F03_55335984,Cell
F03_55355986,nucleus
F03_55365987,Nucleus
F03_55375988,cytosol
F03_55385989,Nucleus
F03_55395990,Cell
F03_55405991,nucleus
F03_75836284,Cytosol
F04_55185977,Nucleus
F04_55195978,nucleus
F04_55215982,Nucleus
F04_55235979,Cell
F04_55245981,Nucleus
F04_55335984,Cell
F04_55355986,Cell
F04_55375988,Nucleus
F04_55385989,Nucleus
F04_55395990,nucleus
F04_55405991,nucleus
F04_75836284,Nucleus
F04_75846286,Cell
F05_55185977,nucleus
F05_55195978,Cell
F05_55215982,nucleus
F05_55225983,Cell
F05_55245981,Cell
F05_55335984,Nucleus
F05_55345985,Nucleus
F05_55355986,nucleus
F05_55365987,Cell
F05_55375988,cytosol
F05_55385989,Nucleus
F05_55395990,Cell
F05_55405991,Nucleus
F05_75846286,Cytosol
F06_55195978,Cell
F06_55215982,Cell
F06_55225983,nucleus
F06_55235979,Cell
F06_55245981,Nucleus
F06_55335984,Nucleus
F06_55345985,Nucleus
F06_55355986,Cell
F06_55365987,Cytosol
F06_55375988,nucleus
F06_55385989,Cell
F06_55395990,Nucleus
F06_55405991,nucleus
F06_75836284,Nucleus
F07_55185977,Cell
F07_55195978,Nucleus
F07_55205980,cytosol
F07_55225983,Cell
F07_55235979,Cytosol
F07_55245981,Nucleus
F07_55345985,Nucleus
F07_55355986,Cell
F07_55365987,Nucleus
F07_55385989,Nucleus
F07_55395990,nucleus
F07_55405991,nucleus
F07_75836284,Cell
F08_55185977,Cell
F08_55205980,cytosol
F08_55215982,Cell
F08_55225983,Cytosol
F08_55235979,Cell
F08_55245981,Cell
F08_55335984,Nucleus
F08_55345985,nucleus
F08_55355986,Cell
F08_55365987,Nucleus
F08_55375988,Cytosol
F08_55385989,nucleus
F08_55395990,Cell
F08_75836284,Cell
F09_55215982,nucleus
F09_55225983,Cell
F09_55235979,Cell
F09_55245981,cytosol
F09_55335984,Cell
F09_55345985,Cytosol
F09_55365987,nucleus
F09_55375988,Nucleus
F09_55385989,Cell
F09_55395990,Cell
F09_55405991,Cell
F09_75836284,Cytosol
F10_55195978,nucleus
F10_55225983,Nucleus
F10_55235979,Cell
F10_55245981,nucleus
F10_55345985,nucleus
F10_55355986,nucleus
F10_55365987,Cell
F10_55375988,nucleus
F10_55385989,nucleus
F10_55395990,Cell
F10_55405991,Cell
F11_55185977,Cell
F11_55195978,Cell
F11_55205980,cytosol
F11_55215982,nucleus
F11_55225983,Nucleus
F11_55245981,Nucleus
F11_55335984,Cytosol
F11_55345985,nucleus
F11_55385989,nucleus
F11_55395990,Nucleus
F11_55405991,Nucleus
F12_55185977,Cell
F12_55195978,Cell
F12_55205980,nucleus
F12_55215982,Cytosol
F12_55245981,Cell
F12_55335984,Cell
F12_55345985,Cell
F12_55365987,Nucleus
F12_55395990,Cell
F12_55405991,Cell
G01_55185977,Cell
G01_55195978,cytosol
G01_55215982,Cytosol
G01_55235979,Cell
G01_55245981,Cell
G01_55335984,Nucleus
G01_55345985,nucleus
G01_55355986,Cytosol
G01_55365987,Nucleus
G01_55375988,Cell
G01_55385989,Nucleus
G01_55395990,Nucleus
G01_55405991,nucleus
G02_55185977,nucleus
G02_55195978,nucleus
G02_55205980,Cell
G02_55215982,Nucleus
G02_55225983,Cytosol
G02_55235979,nucleus
G02_55335984,Nucleus
G02_55365987,Cell
G02_55385989,Nucleus
G02_55395990,nucleus
G02_55405991,Nucleus
G02_75846286,nucleus
G03_55185977,nucleus
G03_55195978,nucleus
G03_55205980,Cell
G03_55215982,nucleus
G03_55225983,nucleus
G03_55235979,Cell
G03_55345985,nucleus
G03_55355986,Cell
G03_55365987,Cell
G03_55375988,nucleus
G03_55385989,Nucleus
G03_55405991,Nucleus
G03_75846286,Nucleus
G04_55185977,Nucleus
G04_55195978,Cell
G04_55205980,Cell
G04_55215982,Cell
G04_55235979,nucleus
G04_55245981,Cell
G04_55335984,Cell
G04_55345985,Cell
G04_55355986,Cytosol
G04_55365987,Cell
G04_55375988,Cell
G04_55385989,nucleus
G04_55395990,nucleus
G04_55405991,nucleus
G04_75836284,Cell
G05_55205980,nucleus
G05_55225983,Cell
G05_55235979,nucleus
G05_55335984,nucleus
G05_55355986,Cell
G05_55395990,Cell
G05_55405991,Cell
G05_75846286,Nucleus
G06_55195978,Cell
G06_55205980,Cell
G06_55215982,Cell
G06_55225983,Cell
G06_55235979,Cell
G06_55245981,Cell
G06_55335984,Cell
G06_55345985,Nucleus
G06_55385989,Cell
G06_55395990,Nucleus
G06_55405991,nucleus
G07_55185977,Nucleus
G07_55195978,Cell
G07_55205980,Cell
G07_55215982,Cell
G07_55225983,Cell
G07_55235979,cytosol
G07_55345985,Cell
G07_55355986,nucleus
G07_55365987,nucleus
G07_55375988,Nucleus
G07_55395990,Cell
G07_55405991,cytosol
G08_55185977,cytosol
G08_55195978,Nucleus
G08_55205980,nucleus
G08_55215982,nucleus
G08_55225983,Nucleus
G08_55235979,Cell
G08_55335984,Cell
G08_55345985,nucleus
G08_55355986,Cell
G08_55365987,nucleus
G08_55375988,Cell
G08_55385989,Cell
G08_55395990,Nucleus
G08_55405991,Cell
G09_55185977,Cytosol
G09_55205980,nucleus
G09_55215982,Cell
G09_55225983,Cell
G09_55245981,Cell
G09_55345985,Cell
G09_55355986,Cell
G09_55365987,nucleus
G09_55375988,Cell
G09_55385989,Cell
G09_55395990,nucleus
G09_75836284,Cell
G10_55185977,nucleus
G10_55205980,nucleus
G10_55215982,Cell
G10_55225983,Cell
G10_55235979,nucleus
G10_55245981,nucleus
G10_55335984,Cell
G10_55345985,Cell
G10_55355986,Cell
G10_55365987,Cell
G10_55385989,Cell
G10_55395990,nucleus
G10_55405991,nucleus
G11_55195978,Nucleus
G11_55205980,nucleus
G11_55215982,Cell
G11_55225983,nucleus
G11_55245981,Cell
G11_55335984,Nucleus
G11_55345985,nucleus
G11_55355986,Cell
G11_55365987,nucleus
G11_55395990,Cell
G12_55195978,Cell
G12_55205980,Nucleus
G12_55215982,Cell
G12_55235979,nucleus
G12_55245981,Cell
G12_55335984,Cell
G12_55345985,Cell
G12_55355986,nucleus
G12_55365987,Nucleus
G12_55395990,Nucleus
G12_55405991,nucleus
G12_75836284,Cell
H01_55185977,Cytosol
H01_55205980,Nucleus
H01_55215982,Nucleus
H01_55225983,Cell
H01_55235979,Nucleus
H01_55245981,Cell
H01_55335984,Cell
H01_55345985,Cytosol
H01_55365987,Nucleus
H01_55375988,Cytosol
H01_55385989,nucleus
H01_55395990,Cell
H01_55405991,Nucleus
H01_75836284,Cell
H02_55185977,Cytosol
H02_55205980,nucleus
H02_55215982,Cell
H02_55225983,Cell
H02_55235979,Cell
H02_55335984,Nucleus
H02_55355986,nucleus
H02_55375988,Nucleus
H02_55385989,nucleus
H02_55395990,Cell
H02_55405991,cytosol
H02_75836284,Cell
H02_75846286,Nucleus
H03_55185977,Nucleus
H03_55195978,Cell
H03_55205980,nucleus
H03_55215982,Cell
H03_55235979,Cell
H03_55245981,Cell
H03_55335984,Nucleus
H03_55345985,Nucleus
H03_55355986,Nucleus
H03_55365987,nucleus
H03_55375988,Cell
H03_55385989,Nucleus
H03_55395990,Cell
H03_55405991,Nucleus
H03_75836284,nucleus
H03_75846286,nucleus
H04_55185977,Nucleus
H04_55195978,Cytosol
H04_55205980,Cytosol
H04_55215982,nucleus
H04_55225983,Cell
H04_55235979,Nucleus
H04_55335984,nucleus
H04_55345985,Cell
H04_55355986,Cytosol
H04_55375988,Cell
H04_55385989,Cell
H04_55395990,Cell
H04_75836284,Cytosol
H04_75846286,Nucleus
H05_55185977,Cell
H05_55195978,Cell
H05_55205980,Cytosol
H05_55215982,Cell
H05_55245981,Nucleus
H05_55335984,Nucleus
H05_55355986,Nucleus
H05_55375988,Cell
H05_55395990,Cytosol
H05_55405991,nucleus
H05_75836284,Cell
H05_75846286,Nucleus
H06_55185977,nucleus
H06_55195978,Cell
H06_55215982,nucleus
H06_55225983,Nucleus
H06_55235979,Cell
H06_55245981,nucleus
H06_55335984,Cell
H06_55345985,nucleus
H06_55355986,Nucleus
H06_55365987,Nucleus
H06_55385989,cytosol
H06_55405991,Cell
H06_75846286,Cytosol
H07_55195978,Nucleus
H07_55215982,Cell
H07_55225983,Nucleus
H07_55235979,Cell
H07_55245981,Cell
H07_55335984,Cell
H07_55345985,nucleus
H07_55355986,Nucleus
H07_55365987,Nucleus
H07_55395990,Nucleus
H07_55405991,Cell
H08_55185977,Nucleus
H08_55195978,Nucleus
H08_55215982,Nucleus
H08_55225983,Cell
H08_55235979,Cell
H08_55245981,Cell
H08_55335984,Cytosol
H08_55345985,Nucleus
H08_55355986,nucleus
H08_55365987,Nucleus
H08_55375988,nucleus
H08_55385989,nucleus
H08_55395990,Nucleus
H08_55405991,Cell
H08_75836284,nucleus
H09_55185977,Cell
H09_55195978,Cell
H09_55205980,Cell
H09_55215982,Nucleus
H09_55225983,Cell
H09_55235979,nucleus
H09_55245981,Cell
H09_55335984,Nucleus
H09_55345985,nucleus
H09_55365987,Cell
H09_55385989,Cell
H09_55395990,nucleus
H09_55405991,Cell
H09_75836284,Nucleus
H10_55205980,Cytosol
H10_55215982,Cell
H10_55235979,Cell
H10_55245981,Nucleus
H10_55345985,Cell
H10_55355986,Nucleus
H10_55375988,Cell
H10_55385989,Cell
H10_55395990,Cell
H10_55405991,nucleus
H10_75836284,Nucleus
H11_55185977,Cell
H11_55195978,Cytosol
H11_55205980,Cell
H11_55215982,Nucleus
H11_55225983,Cell
H11_55235979,Cell
H11_55245981,Cell
H11_55335984,Cell
H11_55345985,Cell
H11_55375988,Cell
H11_55385989,Nucleus
H11_75836284,Cell
