well_plate,IF main antibody location,IF additional antibody location
A01_55185977,Nucleoplasm,Cytosol
B01_55185977,Nucleus,
C01_55185977,Cytosol,Nucleoplasm
D01_55185977,Mitochondria,
E01_55185977,Nucleus;Nucleoli fibrillar center,Cytosol
F01_55185977,Cytosol,Nucleoplasm
G01_55185977,Plasma membrane;Cytosol,
H01_55185977,Nucleoplasm;Cytosol,
A02_55185977,Nucleus,Nuclear bodies;Golgi apparatus;Actin filaments
B02_55185977,Nucleus,Nucleoli;Cytosol
C02_55185977,Nucleoli;Mitochondria,Nucleus
D02_55185977,Nucleus,
E02_55185977,Mitochondria,Nucleoli
F02_55185977,Nucleus,Centrosome;Cytosol
G02_55185977,Nuclear bodies;Cytosol,
H02_55185977,Cytosol,
A03_55185977,Intermediate filaments,
B03_55185977,Plasma membrane;Cytosol,Nucleoplasm;Vesicles
C03_55185977,Nucleus;Nucleoli,
D03_55185977,Nucleus;Cytosol,Nucleoli;Microtubule organizing center
E03_55185977,Actin filaments,Plasma membrane;Cytosol
F03_55185977,Golgi apparatus,
G03_55185977,Nucleoplasm,Cytosol
H03_55185977,Nucleus,Nucleoli
A04_55185977,Nucleus,Vesicles;Plasma membrane
B04_55185977,Vesicles;Cytosol,Nucleus
C04_55185977,Nucleus;Nucleoli,Cytosol
D04_55185977,Nucleus;Vesicles,Cytosol
E04_55185977,Intermediate filaments,
F04_55185977,Nuclear bodies,
G04_55185977,Nucleus,Nucleoli
H04_55185977,Nucleoplasm,
A05_55185977,Cytosol,Nucleus
B05_55185977,Intermediate filaments,
C05_55185977,Cytosol,Nucleus
D05_55185977,Nucleoli,
E05_55185977,Cytosol,
F05_55185977,Nucleus;Nucleoli fibrillar center,Vesicles;Cytosol
G05_55185977,Plasma membrane,
H05_55185977,Mitochondria,
A06_55185977,Cytosol,Nucleus
B06_55185977,Nucleoplasm,
C06_55185977,Cytosol,Nucleoplasm
D06_55185977,Actin filaments;Focal adhesion sites,
E06_55185977,Nucleus,
F06_55185977,Cytosol,Mitochondria
G06_55185977,Nucleoplasm,
H06_55185977,Nucleus;Nucleoli;Nuclear bodies;Centrosome,
A07_55185977,Vesicles,
B07_55185977,Nucleoplasm,
C07_55185977,Nucleoplasm,
D07_55185977,Nucleoplasm,
E07_55185977,Nucleoplasm,
F07_55185977,Microtubule organizing center;Cytosol,Mitochondria
G07_55185977,Nucleus,Nucleoli;Cytosol
H07_55185977,Nucleus,
A08_55185977,Cytosol,Nucleoplasm
B08_55185977,Nucleus;Mitochondria,Cytosol
C08_55185977,Mitochondria,Nucleus
D08_55185977,Cytosol,
E08_55185977,Nucleoplasm,Nuclear bodies
F08_55185977,Vesicles,
G08_55185977,Endoplasmic reticulum;Cytosol,Centrosome
H08_55185977,Nucleoplasm;Nuclear bodies,Cytosol
A09_55185977,Nuclear bodies,
B09_55185977,Mitochondria,
C09_55185977,Cytosol,Nucleoplasm
D09_55185977,Nucleoplasm;Centrosome,Cytosol
E09_55185977,Nucleoplasm,Cytosol
F09_55185977,Nucleus,Nucleoli
G09_55185977,Plasma membrane;Cytosol,Golgi apparatus
H09_55185977,Nucleus,Nucleoli;Plasma membrane;Mitochondria
A10_55185977,Nucleoplasm,Nuclear bodies
B10_55185977,Cytosol,
C10_55185977,Nuclear bodies,Nucleus;Mitochondria
D10_55185977,Nucleoplasm,
E10_55185977,Nuclear bodies,Nucleoplasm;Focal adhesion sites
F10_55185977,Plasma membrane,
G10_55185977,Nucleus,
H10_55185977,Cytosol,Intermediate filaments;Rods & Rings
A11_55185977,Cytosol,Nucleoplasm
B11_55185977,Nucleoplasm,
C11_55185977,Nucleoli fibrillar center;Cytosol,
D11_55185977,Nucleus,Nuclear bodies;Cytosol
E11_55185977,Nucleus;Nucleoplasm;Nucleoli,
F11_55185977,Nucleoplasm;Nuclear bodies,Plasma membrane
G11_55185977,Golgi apparatus,
H11_55185977,Mitochondria,
A12_55185977,Endoplasmic reticulum,Cytosol
B12_55185977,Vesicles,
C12_55185977,Cytosol,
D12_55185977,Plasma membrane;Actin filaments,Vesicles
E12_55185977,Vesicles,
F12_55185977,Vesicles;Cytosol,Plasma membrane
G12_55185977,Mitochondria,Vesicles
A01_55195978,Microtubules;Cytosol,
B01_55195978,Cytosol,
C01_55195978,Cytosol,
D01_55195978,Nucleoli,Nucleus;Intermediate filaments
E01_55195978,Nucleus;Nucleoli fibrillar center,
F01_55195978,Nucleus,
G01_55195978,Cytosol,
H01_55195978,Golgi apparatus,
A02_55195978,Vesicles;Plasma membrane,
B02_55195978,Nucleoplasm;Cytosol,
C02_55195978,Cytosol,Nucleoli fibrillar center
D02_55195978,Cytosol,
E02_55195978,Nucleoplasm;Mitochondria,
F02_55195978,Vesicles;Plasma membrane,
G02_55195978,Nucleus;Nucleoli,Cytosol
H02_55195978,Nucleus;Vesicles;Plasma membrane,
A03_55195978,Plasma membrane,
B03_55195978,Nucleoli fibrillar center;Vesicles,Lipid droplets
C03_55195978,Mitochondria,Nucleoli
D03_55195978,Cytosol,Nucleus;Vesicles
E03_55195978,Nucleus;Nucleoli,Nuclear membrane;Cytosol
F03_55195978,Golgi apparatus,
G03_55195978,Nucleoplasm,Mitotic spindle
H03_55195978,Intermediate filaments,Plasma membrane;Cytosol
A04_55195978,Cytosol,
B04_55195978,Vesicles,
C04_55195978,Vesicles,
D04_55195978,Cytosol,Plasma membrane
E04_55195978,Vesicles;Actin filaments;Cytosol,
F04_55195978,Nucleoplasm,Nucleoli
G04_55195978,Mitochondria,Nucleoplasm
H04_55195978,Cytosol,
A05_55195978,Cytosol,
B05_55195978,Nucleus;Nucleoli;Nucleoli fibrillar center,
C05_55195978,Mitochondria,
D05_55195978,Cytosol,
E05_55195978,Endoplasmic reticulum,Nucleus
F05_55195978,Nucleoplasm;Cytosol,
G05_55195978,Nucleoplasm;Vesicles,
H05_55195978,Intermediate filaments,Nucleoplasm
A06_55195978,Mitochondria,
B06_55195978,Nucleoplasm,
C06_55195978,Nucleoplasm,Golgi apparatus
D06_55195978,Nucleoplasm;Nucleoli fibrillar center,Cytosol
E06_55195978,Plasma membrane,
F06_55195978,Nucleoplasm;Cytosol,
G06_55195978,Actin filaments,
H06_55195978,Nucleoplasm;Plasma membrane;Cytosol,
A07_55195978,Nucleoplasm;Cytosol,
B07_55195978,Nucleoplasm,Mitochondria
C07_55195978,Vesicles,
D07_55195978,Cell Junctions,
E07_55195978,Vesicles,
F07_55195978,Nucleoplasm,
G07_55195978,Intermediate filaments,
H07_55195978,Nucleus,
A08_55195978,Nucleoplasm;Cytosol,
B08_55195978,Nucleoplasm,Cytosol
C08_55195978,Nucleus,Nuclear bodies
D08_55195978,Cytosol,
E08_55195978,Nucleoli,Nucleus;Cytosol
F08_55195978,Mitochondria,
G08_55195978,Nucleoplasm,Nuclear speckles;Golgi apparatus;Cytosol
H08_55195978,Nucleoplasm,
A09_55195978,Plasma membrane;Microtubule organizing center,
B09_55195978,Nucleoplasm;Cytosol,
C09_55195978,Nucleus;Nucleoli,
D09_55195978,Cytosol,Nucleoplasm;Actin filaments
E09_55195978,Nucleoplasm,Vesicles
F09_55195978,Cytosol,
G09_55195978,Centrosome,Cytosol
H09_55195978,Mitochondria,
A10_55195978,Nucleus;Nucleoli;Microtubules,Focal adhesion sites
B10_55195978,Nucleus,Nucleoli
C10_55195978,Microtubule organizing center;Cytosol,
D10_55195978,Cytosol,Golgi apparatus
E10_55195978,Nucleoplasm,
F10_55195978,Nucleoplasm,
G10_55195978,Nucleoplasm,
H10_55195978,Nucleoplasm;Mitochondria,
A11_55195978,Cytosol,Nucleus
B11_55195978,Nucleoplasm,
C11_55195978,Cytosol,
D11_55195978,Mitochondria,
E11_55195978,Mitochondria,
F11_55195978,Mitochondria,Nucleoplasm;Vesicles
G11_55195978,Nucleus;Nucleoli fibrillar center,
H11_55195978,Cytosol,
A12_55195978,Nucleus,
B12_55195978,Centrosome,Cytosol
C12_55195978,Plasma membrane;Cytosol,
D12_55195978,Nucleoplasm,Plasma membrane
E12_55195978,Nuclear speckles,Cytosol
F12_55195978,Microtubules;Mitochondria,Cytosol
G12_55195978,Vesicles,Cytosol
A01_55235979,Nucleoplasm,Cytosol
B01_55235979,Nucleus;Cytosol,
C01_55235979,Nucleus;Nucleoli,Cytosol
D01_55235979,Nucleoplasm;Cytosol,Nucleoli
E01_55235979,Vesicles,
F01_55235979,Mitochondria;Cytosol,
G01_55235979,Mitochondria,Golgi apparatus
H01_55235979,Nucleoplasm,
A02_55235979,Mitochondria,
B02_55235979,Nucleus,Vesicles
C02_55235979,Golgi apparatus,Vesicles
D02_55235979,Nucleoplasm;Nuclear bodies,
E02_55235979,Mitochondria,
F02_55235979,Mitochondria,
G02_55235979,Nucleus;Nucleoli,
H02_55235979,Nucleoplasm,Nuclear speckles;Mitochondria
A03_55235979,Cytosol,
B03_55235979,Plasma membrane;Cytosol,
C03_55235979,Nucleus;Cytosol,
D03_55235979,Nucleoplasm,Cytosol
E03_55235979,Mitochondria,
F03_55235979,Cytosol,
G03_55235979,Nucleoplasm;Plasma membrane;Cytosol,
H03_55235979,Cytosol,Nucleoplasm
A04_55235979,Microtubule organizing center;Cytosol,Nuclear speckles
B04_55235979,Cytosol,Nucleus
C04_55235979,Cytosol,Nucleus
D04_55235979,Nucleoplasm;Vesicles;Cytosol,
E04_55235979,Nucleoplasm,
F04_55235979,Mitochondria;Cytosol,
G04_55235979,Nucleoplasm,Nuclear speckles
H04_55235979,Nucleus,Nucleoli;Vesicles
A05_55235979,Nucleoli,
B05_55235979,Nucleoplasm;Cytosol,
C05_55235979,Nucleus,
D05_55235979,Nucleus,Nucleoli
E05_55235979,Cytosol,
F05_55235979,Nucleoplasm,
G05_55235979,Nuclear speckles,
H05_55235979,Nucleoli,Nucleus
A06_55235979,Nucleoplasm,
B06_55235979,Nucleoplasm;Cytosol,Plasma membrane;Mitochondria
C06_55235979,Vesicles,Mitochondria
D06_55235979,Nuclear bodies,Nucleoplasm
E06_55235979,Mitochondria,
F06_55235979,Plasma membrane;Cytosol,Nucleoplasm
G06_55235979,Mitochondria,
H06_55235979,Nucleoplasm,Mitochondria
A07_55235979,Plasma membrane;Cytosol,
B07_55235979,Cytosol,
C07_55235979,Intermediate filaments;Cytosol,
D07_55235979,Nucleoplasm,Cytosol
E07_55235979,Cytosol,Vesicles
F07_55235979,Cytosol,
G07_55235979,Cytosol,Nucleoplasm
H07_55235979,Mitochondria,Nucleoplasm;Cytosol
A08_55235979,Nucleoplasm,Cytosol
B08_55235979,Cytosol,
C08_55235979,Mitochondria,Cytosol
D08_55235979,Cytosol,Nucleoplasm
E08_55235979,Nucleus;Nucleoli,Cytosol
F08_55235979,Nuclear membrane;Mitochondria,Intermediate filaments
G08_55235979,Plasma membrane,
H08_55235979,Mitochondria,
A09_55235979,Nucleus,Nuclear bodies
B09_55235979,Nucleoplasm,
C09_55235979,Nucleoplasm,
D09_55235979,Mitochondria,
E09_55235979,Plasma membrane,Cytosol
F09_55235979,Nucleoplasm,Mitochondria
G09_55235979,Nucleoplasm;Cytosol,
H09_55235979,Nucleoplasm,
A10_55235979,Vesicles,Cytosol
B10_55235979,Mitochondria,Nucleoplasm;Cell Junctions
C10_55235979,Nucleoplasm;Cytosol,Plasma membrane
D10_55235979,Nucleus;Plasma membrane,Cell Junctions;Cytosol
E10_55235979,Nucleus,
F10_55235979,Plasma membrane;Cytosol,
G10_55235979,Nucleus,Nucleoli
H10_55235979,Mitochondria,Nuclear speckles
A11_55235979,Actin filaments,
B11_55235979,Nucleus;Microtubule ends,Nuclear bodies;Cytosol
C11_55235979,Plasma membrane;Cytosol,Nucleoplasm
D11_55235979,Nucleoplasm,
E11_55235979,Cytosol,
F11_55235979,Nucleoli;Golgi apparatus;Vesicles,Nucleoplasm;Cytosol
G11_55235979,Vesicles,Cytosol
H11_55235979,Nucleoplasm;Cytosol,Intermediate filaments
A12_55235979,Cytosol,
B12_55235979,Cytosol,
C12_55235979,Nucleoli,
D12_55235979,Nucleus,Nuclear bodies;Cytosol
E12_55235979,Vesicles,
F12_55235979,Cytosol,Nucleoplasm
G12_55235979,Nucleoli,
A01_55205980,Mitochondria,
B01_55205980,Intermediate filaments,
C01_55205980,Nucleoplasm,
D01_55205980,Nuclear membrane,Vesicles
E01_55205980,Nucleoplasm;Cytosol,
F01_55205980,Nucleus;Nuclear membrane,Nucleoli
G01_55205980,Mitochondria,Cytosol
H01_55205980,Nucleoli;Cytosol,
A02_55205980,Vesicles,
B02_55205980,Nucleus;Centrosome,Plasma membrane;Cytosol
C02_55205980,Mitochondria,Nuclear speckles
D02_55205980,Golgi apparatus,
E02_55205980,Nucleoplasm,Cytosol
F02_55205980,Cytosol,Nucleus;Nucleoli
G02_55205980,Endoplasmic reticulum,
H02_55205980,Nucleus;Nucleoli,
A03_55205980,Actin filaments,Cytosol
B03_55205980,Vesicles,
C03_55205980,Plasma membrane,
D03_55205980,Golgi apparatus,Nucleoplasm
E03_55205980,Nucleoplasm,Mitochondria;Cytosol
F03_55205980,Cytosol,Nucleoplasm
G03_55205980,Mitochondria;Cytosol,
H03_55205980,Nucleoplasm,Cytosol
A04_55205980,Nucleoplasm,
B04_55205980,Nucleus;Nucleoli,Cytosol
C04_55205980,Cytosol,
D04_55205980,Plasma membrane;Cytosol,Nucleoplasm
E04_55205980,Nuclear bodies,Nuclear membrane;Golgi apparatus
F04_55205980,Cytosol,Plasma membrane
G04_55205980,Golgi apparatus,Plasma membrane;Cytosol
H04_55205980,Cytosol,
A05_55205980,Nucleoplasm,Nuclear bodies;Vesicles
B05_55205980,Nucleus,Nucleoli
C05_55205980,Nucleoplasm,
D05_55205980,Endoplasmic reticulum;Vesicles,Nucleoplasm;Cytosol
E05_55205980,Nucleoplasm,Nucleoli
F05_55205980,Cytosol,Nucleoli
G05_55205980,Nucleus,
H05_55205980,Cytosol,
A06_55205980,Endoplasmic reticulum,
B06_55205980,Nucleus;Nucleoli,Nuclear bodies;Cytokinetic bridge
C06_55205980,Intermediate filaments,Golgi apparatus
D06_55205980,Vesicles,
E06_55205980,Vesicles,
F06_55205980,Nucleoplasm;Cytosol,
G06_55205980,Nucleoplasm;Mitochondria,Nucleoli
H06_55205980,Nucleoplasm;Cytosol,
A07_55205980,Nucleoli fibrillar center,Mitochondria
B07_55205980,Nucleoplasm,Nucleoli
C07_55205980,Mitochondria,
D07_55205980,Endoplasmic reticulum;Vesicles,
E07_55205980,Vesicles;Cytosol,
F07_55205980,Cytosol,
G07_55205980,Nucleoli,Nucleus;Cytosol
H07_55205980,Plasma membrane;Cytosol,
A08_55205980,Mitochondria;Cytosol,Nucleoli;Intermediate filaments
B08_55205980,Nucleus,
C08_55205980,Vesicles,Endoplasmic reticulum
D08_55205980,Nucleoplasm,Nuclear membrane;Cytosol
E08_55205980,Nucleoplasm,Focal adhesion sites;Cytosol
F08_55205980,Cytosol,
G08_55205980,Nucleus,Nuclear membrane;Nucleoli
H08_55205980,Nucleus,Centrosome
A09_55205980,Cytosol,Nucleoplasm
B09_55205980,Nucleoplasm,
C09_55205980,Plasma membrane;Cytosol,
D09_55205980,Plasma membrane;Cytosol,Nucleoplasm
E09_55205980,Nucleoli,Nucleus
F09_55205980,Cytosol,
G09_55205980,Nucleus,
H09_55205980,Mitochondria,
A10_55205980,Nucleoplasm;Cytosol,Plasma membrane
B10_55205980,Nucleus;Intermediate filaments,Cytosol
C10_55205980,Nucleoplasm;Nuclear bodies,
D10_55205980,Nucleoplasm,
E10_55205980,Golgi apparatus,
F10_55205980,Cytosol,Nucleoplasm
G10_55205980,Nucleoplasm,
H10_55205980,Intermediate filaments;Cytosol,Nucleoplasm
A11_55205980,Centrosome,Plasma membrane
B11_55205980,Cytosol,
C11_55205980,Plasma membrane;Cytosol,
D11_55205980,Nuclear bodies,Nuclear membrane;Cytosol
E11_55205980,Nucleoplasm,Cytosol
F11_55205980,Cytosol,
G11_55205980,Nucleoli fibrillar center,Mitochondria
H11_55205980,Nucleoplasm,Cytosol
A12_55205980,Mitochondria;Cytosol,
B12_55205980,Mitochondria;Cytosol,Nuclear bodies
C12_55205980,Nucleoplasm;Cytosol,
D12_55205980,Nucleus;Nucleoli,
E12_55205980,Cytosol,
F12_55205980,Nucleus,Nucleoli;Nucleoli fibrillar center
G12_55205980,Nucleoplasm;Cytosol,
A01_55245981,Nucleoplasm;Cytosol,
B01_55245981,Cytosol,
C01_55245981,Mitochondria,Nucleus;Nucleoli
D01_55245981,Nucleoplasm;Vesicles,Cytosol
E01_55245981,Nucleoplasm;Golgi apparatus,Cytosol
F01_55245981,Nucleus,Nucleoli;Plasma membrane;Cytosol
G01_55245981,Mitochondria,Nucleoplasm
H01_55245981,Mitochondria,
A02_55245981,Nuclear bodies,Golgi apparatus
B02_55245981,Nucleoplasm,
C02_55245981,Cell Junctions,
D02_55245981,Nuclear bodies,
E02_55245981,Nucleus,
F02_55245981,Nucleoplasm,Nuclear bodies
G02_55245981,Mitochondria,Cytosol
H02_55245981,Mitochondria,
A03_55245981,Vesicles,
B03_55245981,Nucleoplasm,Cytosol
C03_55245981,Cytosol,Mitochondria
D03_55245981,Plasma membrane,
E03_55245981,Nucleoli,Nucleus
F03_55245981,Intermediate filaments;Cytosol,
G03_55245981,Intermediate filaments,
H03_55245981,Nuclear bodies;Plasma membrane,
A04_55245981,Nuclear bodies,Nucleoplasm
B04_55245981,Cytosol,
C04_55245981,Nucleoplasm,
D04_55245981,Nucleoplasm;Mitochondria,
E04_55245981,Mitochondria,
F04_55245981,Nucleus,Nucleoli
G04_55245981,Mitochondria,Nucleoli
H04_55245981,Nucleoplasm,Nuclear bodies
A05_55245981,Intermediate filaments,Cytosol
B05_55245981,Plasma membrane,
C05_55245981,Cytosol,Golgi apparatus
D05_55245981,Nucleoplasm,
E05_55245981,Nucleoplasm;Mitochondria,
F05_55245981,Mitochondria,
G05_55245981,Vesicles,Nuclear bodies
H05_55245981,Nuclear bodies,Nucleoplasm;Cytosol
A06_55245981,Nucleoplasm;Cytosol,Vesicles
B06_55245981,Cytosol,Nucleus
C06_55245981,Nucleoplasm;Cytosol,
D06_55245981,Nucleus,Microtubules
E06_55245981,Nucleoplasm,Cytosol
F06_55245981,Nucleoplasm,
G06_55245981,Plasma membrane;Cytosol,
H06_55245981,Nucleoplasm,
A07_55245981,Mitochondria,Nucleus
B07_55245981,Nucleus;Nuclear membrane,
C07_55245981,Mitochondria,
D07_55245981,Nucleus;Nucleoli,
E07_55245981,Nucleus,Nucleoli;Cytosol
F07_55245981,Nucleoplasm;Cytoplasmic bodies,
G07_55245981,Vesicles,
H07_55245981,Cytosol,Vesicles
A08_55245981,Plasma membrane;Cytosol,
B08_55245981,Plasma membrane;Cytosol,
C08_55245981,Mitochondria,
D08_55245981,Plasma membrane;Microtubules,Nucleoplasm
E08_55245981,Nucleoplasm,
F08_55245981,Plasma membrane;Cytosol,
G08_55245981,Nuclear bodies;Endoplasmic reticulum;Cytosol,Nucleoli
H08_55245981,Centrosome,Nucleoplasm;Mitochondria
A09_55245981,Plasma membrane;Cytosol,Nucleoplasm
B09_55245981,Focal adhesion sites,
C09_55245981,Nucleus,Nuclear bodies
D09_55245981,Nucleus,Nuclear bodies
E09_55245981,Nucleoli,Cytosol
F09_55245981,Cytosol,Nucleus;Nuclear bodies;Mitotic spindle
G09_55245981,Vesicles,
H09_55245981,Nucleoli,Cytosol
A10_55245981,Nucleoplasm,Cell Junctions;Centrosome
B10_55245981,Nucleoplasm,Nucleoli;Vesicles
C10_55245981,Nuclear bodies,Nucleoplasm;Cytosol
D10_55245981,Intermediate filaments,
E10_55245981,Nuclear membrane,
F10_55245981,Nucleus,Nuclear bodies;Cytosol
G10_55245981,Nuclear speckles,Cytoplasmic bodies
H10_55245981,Nucleus,Nucleoli
A11_55245981,Mitochondria,
B11_55245981,Nuclear bodies,Nucleoplasm
C11_55245981,Plasma membrane,
D11_55245981,Cytosol,
E11_55245981,Nucleoplasm,Cytokinetic bridge;Mitotic spindle
F11_55245981,Nucleoplasm,
G11_55245981,Plasma membrane;Actin filaments;Cytosol,
H11_55245981,Vesicles;Cytosol,
A12_55245981,Cytosol,
B12_55245981,Nucleus,
C12_55245981,Vesicles,Microtubules
D12_55245981,Nucleoplasm,Cytosol
E12_55245981,Cytosol,
F12_55245981,Mitochondria,
G12_55245981,Mitochondria,Cytosol
A01_55215982,Nucleus,Vesicles;Cytosol
B01_55215982,Nucleus;Nucleoli,Cytosol
C01_55215982,Vesicles,
D01_55215982,Mitochondria,Nucleoplasm
E01_55215982,Nuclear membrane,Nucleus
F01_55215982,Mitochondria,
G01_55215982,Cytosol,
H01_55215982,Nucleoplasm,
A02_55215982,Mitochondria;Cytosol,
B02_55215982,Nucleus;Nucleoli,
C02_55215982,Nucleus,Nuclear membrane;Nucleoli fibrillar center
D02_55215982,Nucleoplasm,
E02_55215982,Vesicles,Plasma membrane
F02_55215982,Nucleus,Nuclear bodies;Actin filaments
G02_55215982,Nucleoli,Nuclear bodies
H02_55215982,Mitochondria,Nucleoplasm
A03_55215982,Nucleus,Nucleoli
B03_55215982,Cytosol,
C03_55215982,Nucleus,
D03_55215982,Nucleus;Plasma membrane,Nuclear membrane;Nuclear bodies
E03_55215982,Mitochondria,
F03_55215982,Cytosol,
G03_55215982,Nucleoli,
H03_55215982,Mitochondria,
A04_55215982,Nucleoplasm;Golgi apparatus,
B04_55215982,Mitochondria,Nucleoplasm
C04_55215982,Mitochondria,Nucleoplasm
D04_55215982,Nucleus;Nucleoli,Nuclear bodies
E04_55215982,Aggresome,Intermediate filaments
F04_55215982,Nucleoplasm;Cell Junctions,
G04_55215982,Nucleoplasm;Cytosol,
H04_55215982,Nucleus,Nucleoli
A05_55215982,Nuclear bodies;Cytosol,Nucleus
B05_55215982,Nucleoplasm,Midbody
C05_55215982,Mitochondria,
D05_55215982,Actin filaments,Nucleoli;Nuclear bodies
E05_55215982,Nuclear membrane,Nucleoplasm;Cytosol
F05_55215982,Nucleus;Nucleoli fibrillar center;Vesicles,
G05_55215982,Plasma membrane;Cytosol,
H05_55215982,Nucleoplasm,Golgi apparatus;Cytosol
A06_55215982,Nucleoplasm;Mitochondria,
B06_55215982,Nucleoplasm,Cytosol
C06_55215982,Nucleus,Nucleoli fibrillar center
D06_55215982,Cytosol,
E06_55215982,Cytosol,
F06_55215982,Nuclear membrane,Nucleoplasm;Mitochondria
G06_55215982,Nucleoplasm;Nuclear membrane,Mitochondria
